FIPS,CLG,CLC,DIV,CLH,RSI,FSI,FSG,FSV,FSP,FSC,MSI,MSH,MSD,MSS,MSM,ESA,ESI,GPS,GPT,GPE,RFS,FIndex,EIndex,MIndex,GIndex,SIIndex
12103028004,0.1644,0.6781,0.183,0.709513890631666,0.3881,0.3236,0.8538,0.0533,0.8335,1.0459649735265026,0.0571,0.3245,0.03314640496695373,0.4016,0.1892,0.881876375275055,0.0,0.0,1.8035999999999999,1.891970364437325,0.43559296557943783,0.5183608289210838,0.4409381876375275,0.20110928099339076,0.41061892938192496,0.1922
12103028102,0.7159,0.5056,0.0793,0.8324340602805732,0.3577,0.403,0.8296,0.2475,0.7214,1.1722813754581953,0.2163,0.5162,0.14490286400961344,0.2048,0.1414,0.8350670134026805,0.6099,0.6927,2.3157,0.0,0.3502179467909214,0.5622968959096992,0.7224835067013402,0.2447205728019227,0.33426666666666666,0.396725
12103028103,0.5328,0.5955,0.3153,0.8881973548824252,0.326,0.441,0.9443,0.0278,0.8789,1.1250363646942456,0.0826,0.4331,0.09763669136791508,0.1805,0.1049,0.9667933586717343,0.6049,0.0,2.4981,2.839307168602323,0.2785710706949246,0.5695060607823742,0.7858466793358672,0.17974733827358302,0.5930452409558137,0.363625
12103028104,0.3773,0.7418,0.2409,0.8207895199136698,0.2753,0.395,0.9707,0.0415,0.9452,1.3090126258218422,0.2924,0.7098,0.06709393150410575,0.1555,0.0819,0.952890578115623,0.7239,0.6927,2.8059000000000003,2.8348017621145374,0.22295706197705295,0.6102354376369737,0.8383952890578115,0.26133878630082114,0.7037113069016152,0.42164999999999997
12103028200,0.2341,0.5366,0.4138,0.7483624865109042,0.3065,0.3479,0.5871,0.2031,0.8789,1.0422412288357479,0.1222,0.3192,0.1405968355697977,0.1805,0.1263,0.17453490698139626,0.0,1.6476000000000002,0.9807000000000001,2.7455947136563874,0.32155919635252267,0.5098735381392913,0.08726745349069813,0.17775936711395954,0.5970994126284874,0.19415
12103028300,0.683,0.2311,0.4964,0.9523929028534143,0.487,0.479,0.6872,0.0795,0.9315,1.0512014894978763,0.1085,0.3308,0.393951532145003,0.5386,0.4782,0.1935387077415483,0.7073,0.6927,1.8627,1.7577092511013217,0.9339145247757904,0.5380669149163128,0.45041935387077414,0.37001030642900057,0.4792343612334802,0.44545
12103028401,0.4597,0.179,0.1945,0.585087961452556,0.3325,0.244,0.9866,0.0,0.9387,1.1202071332984234,0.0,0.4269,0.007009813739234929,0.3231,0.132,0.9900980196039207,0.0,0.0,2.1029999999999998,0.0,0.33077809509494466,0.5482511888830706,0.49504900980196037,0.177801962747847,0.23366666666666663,0.144125
12103028402,0.5246,0.8573,0.2721,1.022460912992195,0.3831,0.5244,0.7021,0.121,0.6363,0.8794437656368186,0.0521,0.1485,0.10965351492088923,0.0,0.0382,0.27465493098619725,0.5121,1.3302,1.0881,0.0,0.10972493611904403,0.4772072942728031,0.3933774654930986,0.06969070298417786,0.26870000000000005,0.367925
12103028500,0.67,0.2556,0.2819,0.8456847441463599,0.4774,0.4128,0.73,0.0334,0.4341,0.7221737359632281,0.0437,0.0622,0.2564590426597236,0.248,0.23,0.3682736547309462,0.0,0.0,0.6975,1.5847016419703643,0.5051355278320557,0.3887456226605381,0.1841368273654731,0.16807180853194473,0.2535779602189294,0.233475
12103028600,0.6443,0.4948,0.1136,0.8515070143298115,0.4438,0.4174,0.626,0.0466,0.8335,0.8958515156804563,0.0336,0.1638,0.44061686360905267,0.0,0.1935,0.9691938387677536,0.0,1.0757999999999999,2.889,2.9149979975971165,0.4409038528984418,0.4698919192800761,0.4845969193838768,0.16630337272181053,0.7644219997330128,0.22369999999999998
12103028700,0.9894,0.988,0.9301,1.8439029287022863,0.7662,0.9656,0.0715,0.97,0.7411,1.613719671844999,0.9909,0.9455,0.9778690166232725,0.343,0.6882,0.23864772954590918,0.0,2.7984,2.7159,0.0,1.322210531589759,0.7269866119741665,0.11932386477295459,0.7890938033246545,0.6127,0.680675
12103990000,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
12105010300,0.8202,0.5179,0.6667,1.425402163274525,0.8351,0.7677,0.4842,0.6306,0.7651,1.4572060278117183,0.6246,0.8515,0.5788103344682555,0.5763,0.6049,0.5649129825965192,0.7876,1.2804,2.646,2.1592911493792553,1.156671175910617,0.6841343379686197,0.6762564912982596,0.6472220668936511,0.6761879054865839,0.75375
